#{"t_start": 1650012600.3294065, "env_id": "A1GymEnv-v1"}
r,l,t
1.685277,46,1931.233912
4.900899,49,1931.319327
8.410763,74,1931.473666
4.630343,64,1931.585723
1.289519,43,1931.689123
14.932622,140,1931.960522
4.538615,62,1932.070292
4.938821,57,1932.197381
3.177278,59,1932.305269
9.547274,84,1932.475893
4.203864,54,1932.567784
8.770645,66,1932.708925
5.645129,78,1932.84588
1.320463,73,1932.997972
3.544022,61,1933.102099
3.001729,52,1933.214227
4.052839,67,1933.329468
6.273934,75,1933.484355
18.828632,128,1933.734252
9.902494,82,1933.880829
6.286769,72,1934.029201
3.013829,55,1934.127925
2.781254,71,1934.289606
9.307161,91,1934.477587
4.804082,74,1934.606957
4.092044,86,1934.780324
4.473815,69,1934.928131
5.774486,70,1935.048874
3.624204,75,1935.207423
6.187382,69,1935.327422
19.568366,113,1935.543562
5.62786,55,1935.659837
22.386631,195,1936.022485
12.3446,119,1936.26128
8.532393,78,1936.423943
6.817396,125,1936.668726
8.35314,139,1936.935245
5.092439,52,1937.023957
1.449829,29,1937.074584
5.638839,84,1937.242065
4.622452,85,1937.413585
8.5509,95,1937.579218
4.143981,60,1937.707199
14.823077,105,1937.91308
18.523669,177,1938.25021
2.416101,34,1938.309995
1.81359,71,1938.461669
6.050233,57,1938.562807
2.240532,57,1938.692208
6.362952,69,1938.816063
3.957011,61,1938.949318
6.653135,64,1939.062347
2.636443,46,1939.168441
4.036516,73,1939.29856
1.754082,93,1939.489767
6.650025,81,1939.653254
4.855427,55,1939.74618
8.026839,65,1939.859524
9.582141,77,1940.021654
6.935619,177,1940.354712
1.635032,34,1940.438725
5.747899,55,1940.535492
4.486243,69,1940.682147
5.024005,66,1940.799275
9.274368,103,1941.002133
2.849131,79,1941.164747
4.202854,67,1941.280283
5.148293,56,1941.398857
11.585031,142,1941.676762
3.955771,75,1941.810734
3.662865,57,1941.933577
13.296603,122,1942.173024
3.035302,95,1942.335005
4.939776,49,1942.441652
3.389045,57,1942.538555
4.652441,67,1942.680368
1.177552,156,1942.985906
1.769412,37,1943.050615
5.246376,112,1943.274219
4.119296,70,1943.425701
9.456716,79,1943.563813
7.049685,67,1943.707931
20.346727,173,1944.041261
13.148479,114,1944.264319
3.938323,61,1944.39565
2.734009,55,1944.4874
12.515977,155,1944.776382
5.305654,64,1944.912711
4.381561,56,1945.006739
5.92767,77,1945.163568
2.024776,65,1945.275772
16.922012,153,1945.56335
3.253387,53,1945.677814
5.970769,53,1945.767013
4.843306,60,1945.901333
5.582769,54,1945.994127
2.312559,60,1946.119412
4.588524,59,1946.219301
2.501441,40,1946.287198
5.05146,55,1946.405241
8.757647,136,1946.669945
2.00936,119,1946.90429
4.045964,61,1947.012805
4.24375,66,1947.151773
2.100487,63,1947.260185
8.59249,132,1947.51232
18.360574,113,1947.737311
0.909161,62,1947.873204
1.722891,64,1947.980695
16.927786,119,1948.211059
2.394124,65,1948.347693
2.953919,60,1948.454107
3.411348,43,1948.530945
5.818109,80,1948.696041
9.005949,69,1948.841437
3.96418,76,1948.975935
4.44966,71,1949.126248
5.075246,66,1949.240522
1.320596,78,1949.401563
20.940065,141,1949.669266
3.510117,52,1949.764786
6.028819,142,1950.051587
3.746456,59,1950.155742
5.279904,65,1950.26772
3.834443,51,1950.382257
5.025889,74,1950.510917
12.691502,164,1950.846094
8.74762,92,1951.008524
-8.026921,267,1951.544746
4.545397,76,1951.684845
3.085806,55,1951.806758
5.430636,65,1951.920527
5.614836,73,1952.070738
6.113857,140,1952.33145
2.089428,71,1952.453373
3.334891,63,1952.586179
1.563444,44,1952.662345
4.181006,82,1952.826663
5.12127,60,1952.928279
8.72427,87,1953.101504
6.09411,78,1953.257566
3.181908,45,1953.335271
2.329594,48,1953.418555
2.30172,66,1953.565521
22.631709,138,1953.830689
2.765783,64,1953.939768
4.649502,60,1954.066113
6.113279,55,1954.156462
6.687348,78,1954.31706
2.98925,60,1954.423535
4.657041,56,1954.549645
8.432843,95,1954.715133
4.705035,54,1954.831108
12.689406,96,1955.021532
2.94323,69,1955.141055
5.596361,64,1955.276649
2.511653,50,1955.361228
2.192184,46,1955.439106
6.122095,89,1955.628622
2.255674,50,1955.740304
7.910497,83,1955.883532
10.090041,104,1956.08682
5.758398,60,1956.189493
6.071166,58,1956.31663
0.173129,47,1956.399136
5.813162,54,1956.517984
6.683946,89,1956.676267
4.936864,78,1956.835253
6.361858,64,1956.969092
3.516556,56,1957.06628
5.266314,70,1957.209516
4.710397,68,1957.328713
5.299047,63,1957.465777
7.327152,126,1957.706444
3.202445,59,1957.807469
6.401736,70,1957.952142
2.537708,66,1958.068594
8.803341,79,1958.234503
6.054572,65,1958.34957
12.065101,105,1958.560558
4.661836,60,1958.667132
3.519178,69,1958.814647
4.290106,61,1958.922202
6.013417,75,1959.075192
2.797989,59,1959.202967
6.908239,66,1959.318958
2.240297,93,1959.509334
7.552079,56,1959.604159
7.922125,64,1959.73369
9.286428,94,1959.892266
2.444216,63,1960.026251
4.940916,62,1960.135469
1.973113,49,1960.249062
2.925019,59,1960.351498
1.656856,128,1960.606573
2.297671,68,1960.751644
4.850734,58,1960.855715
4.899802,56,1960.979586
4.428694,57,1961.07784
3.769085,59,1961.206803
3.552831,67,1961.329726
3.543851,57,1961.452827
5.32148,111,1961.646662
1.50562,65,1961.784259
0.373561,43,1961.859331
5.45249,86,1962.038175
5.150027,72,1962.16752
6.104349,99,1962.364998
5.095466,62,1962.495749
7.393516,91,1962.654639
8.166133,77,1962.814688
2.407207,49,1962.9005
3.681311,70,1963.046557
2.873642,74,1963.200128
5.318771,67,1963.325699
4.673823,45,1963.405621
7.666984,78,1963.568877
5.633896,88,1963.745142
5.889172,56,1963.843402
2.857271,37,1963.907465
6.902405,68,1964.048907
3.328381,66,1964.190374
11.24724,111,1964.384508
3.125521,44,1964.486869
7.057133,62,1964.5941
5.387903,53,1964.709895
1.612799,67,1964.825986
6.408263,61,1964.952661
2.515524,52,1965.044186
5.651468,71,1965.198459
3.2879,44,1965.274783
2.165055,65,1965.384536
4.506208,60,1965.514672
8.51866,72,1965.641832
1.793679,76,1965.792775
4.555451,64,1965.929753
2.161599,75,1966.05885
2.46724,55,1966.179955
3.01637,61,1966.283537
4.699097,73,1966.432033
9.229398,69,1966.553129
2.656702,50,1966.663203
6.770226,70,1966.789182
25.37535,159,1967.096738
-0.113041,103,1967.310775
5.153033,67,1967.453711
5.915847,83,1967.597248
6.793309,67,1967.736266
1.732994,37,1967.797962
15.345197,98,1967.990029
4.218998,73,1968.119109
0.948874,58,1968.240247
4.527473,114,1968.45798
5.467302,68,1968.575078
8.333282,119,1968.807864
6.84564,75,1968.960837
7.858112,123,1969.207017
10.07704,117,1969.435828
7.038658,75,1969.562745
2.309905,59,1969.689058
3.947578,56,1969.785995
2.127568,60,1969.913506
2.939363,48,1969.992835
4.322652,64,1970.123928
6.426284,67,1970.237914
6.612078,84,1970.404995
8.307277,149,1970.686709
4.996339,70,1970.807473
10.523078,166,1971.156333
4.181097,81,1971.298395
8.461492,70,1971.444972
8.348965,90,1971.624647
10.57434,82,1971.770047
19.477243,124,1972.008682
32.561256,159,1972.321101
2.509285,87,1972.491931
7.699066,74,1972.645627
4.169362,60,1972.751578
7.443723,75,1972.907606
3.823892,108,1973.123958
7.855546,79,1973.262767
2.888352,43,1973.361058
2.35635,65,1973.473348
2.258317,52,1973.58454
5.508968,51,1973.66894
4.039018,49,1973.753162
2.772151,53,1973.872655
8.350625,63,1973.982234
8.477999,86,1974.158263
2.975446,39,1974.226173
2.965221,47,1974.335332
5.504197,61,1974.442546
9.368329,77,1974.603145
7.308182,118,1974.840412
5.988335,70,1974.968666
4.032513,59,1975.094364
5.308779,58,1975.193342
5.726402,67,1975.330734
6.329476,68,1975.448392
13.630042,107,1975.653734
-0.280724,41,1975.721566
6.918314,76,1975.87554
7.520217,66,1975.991837
7.313008,114,1976.21643
5.803214,63,1976.351033
0.580108,86,1976.503638
-1.727042,130,1976.750414
10.739974,196,1977.152927
3.624422,45,1977.233696
15.650821,152,1977.526397
6.641653,65,1977.663404
6.260839,62,1977.771052
4.624055,73,1977.92415
5.103777,84,1978.108517
8.061443,65,1978.220049
8.950364,73,1978.37122
5.210379,62,1978.479622
6.613904,64,1978.619309
4.259286,70,1978.748169
2.122862,85,1978.924809
5.971553,66,1979.039542
4.686215,66,1979.181418
10.288474,80,1979.347574
4.993486,64,1979.458051
7.062751,61,1979.589277
5.898209,89,1979.741745
4.20981,62,1979.873975
4.402198,63,1979.983174
8.49271,77,1980.14291
4.952514,65,1980.255081
5.04879,52,1980.369206
6.079249,54,1980.461204
13.24228,120,1980.701137
5.494219,72,1980.848824
10.157017,75,1980.980694
14.524398,167,1981.319529
7.140816,57,1981.419105
3.402766,62,1981.549113
6.845074,71,1981.670699
5.86241,60,1981.796138
5.213428,65,1981.907599
7.658073,58,1982.006204
3.889369,52,1982.12128
16.511812,127,1982.368144
5.662736,61,1982.469626
12.235053,114,1982.694007
8.748268,175,1983.054096
8.293362,72,1983.178631
4.385016,73,1983.329579
7.153627,60,1983.431934
5.280559,69,1983.574959
5.783199,83,1983.721348
6.114109,58,1983.847562
5.661014,64,1983.959624
4.269686,65,1984.09798
2.483634,42,1984.171723
13.514962,114,1984.394337
2.943908,41,1984.464854
1.598941,67,1984.613937
2.215601,107,1984.820644
6.543678,66,1984.933257
8.725293,80,1985.098547
3.662414,94,1985.286793
7.040734,73,1985.413911
9.54519,89,1985.591996
5.898727,67,1985.706218
6.095968,57,1985.826916
14.644838,140,1986.095097
6.508699,62,1986.200148
3.204913,58,1986.322047
18.66538,118,1986.558686
6.735942,63,1986.672521
14.087188,114,1986.900263
7.215321,65,1987.036652
6.452508,67,1987.150585
3.501468,53,1987.26694
5.283093,60,1987.372861
5.475772,63,1987.50984
8.573885,83,1987.654795
5.776226,59,1987.780345
2.898924,72,1987.906813
4.229728,54,1988.026434
6.576653,64,1988.136658
5.71694,56,1988.254472
0.206587,147,1988.535621
5.917113,59,1988.636308
7.712028,71,1988.785093
3.801189,53,1988.875538
6.681655,73,1989.026276
2.18188,54,1989.120232
9.074336,76,1989.275805
6.031293,65,1989.386115
7.655803,82,1989.552042
9.410509,77,1989.710154
2.573744,82,1989.85111
6.177989,66,1989.989691
5.283561,120,1990.226214
5.586867,67,1990.346297
4.327978,46,1990.450206
6.32565,63,1990.557516
8.980346,80,1990.720193
7.640265,58,1990.819441
5.870008,74,1990.975646
7.367752,97,1991.149429
2.186402,38,1991.240599
4.72303,58,1991.341425
4.769106,56,1991.461901
10.718069,88,1991.616783
7.038395,93,1991.798949
3.815956,48,1991.879175
5.197241,71,1992.026331
4.39398,62,1992.131539
8.277029,63,1992.265868
1.929092,36,1992.327936
7.100327,65,1992.464187
5.658668,65,1992.575038
2.636599,43,1992.672871
8.188006,66,1992.788009
2.907067,58,1992.914433
4.257239,58,1993.014686
2.475145,38,1993.079422
4.363346,59,1993.205664
2.921567,57,1993.302757
7.667552,82,1993.469248
3.190972,46,1993.548053
7.755387,57,1993.671099
4.245506,54,1993.765661
4.51073,61,1993.894805
4.779624,65,1994.008621
6.251569,70,1994.153649
2.446474,41,1994.229063
6.996797,58,1994.329844
10.233628,113,1994.559055
5.394322,67,1994.703
16.047814,135,1994.961868
2.438197,48,1995.043232
9.826426,97,1995.236715
6.523433,184,1995.586518
4.288395,50,1995.697305
9.212269,65,1995.808898
2.818385,59,1995.933174
16.314855,102,1996.136737
7.057678,65,1996.249048
5.182828,66,1996.384292
7.050021,113,1996.577904
19.984361,152,1996.888906
6.632338,86,1997.038674
4.707703,60,1997.163974
5.104944,60,1997.265311
3.240705,79,1997.423952
4.884514,66,1997.538104
5.831181,98,1997.730579
14.01821,106,1997.935241
3.800317,54,1998.034865
2.651081,43,1998.133311
5.101551,56,1998.228189
7.924785,64,1998.364253
9.396688,77,1998.500806
4.559685,43,1998.600034
3.746046,46,1998.680775
5.0747,75,1998.838493
6.907954,84,1998.985878
5.38057,62,1999.116668
7.132787,61,1999.220708
11.47326,255,1999.711174
7.254772,60,1999.83841
3.360491,60,1999.939158
10.486226,80,2000.105899
6.115857,64,2000.216401
8.136318,69,2000.361253
11.485724,127,2000.605957
10.995543,117,2000.83843
9.2553,93,2001.001746
2.14591,49,2001.110193
4.671324,55,2001.204361
4.820879,101,2001.402815
2.90567,48,2001.484226
2.591424,122,2001.722878
5.470233,75,2001.881203
1.472901,47,2001.969043
4.750776,80,2002.133316
4.647313,127,2002.372982
7.499787,87,2002.544901
5.938907,79,2002.681404
6.506986,68,2002.826726
12.58106,120,2003.061894
4.120095,85,2003.209068
4.064621,61,2003.343454
8.26809,80,2003.483949
19.114567,156,2003.806673
8.029101,63,2003.922258
4.533737,66,2004.06589
6.653458,62,2004.174472
33.162954,214,2004.597537
5.667559,66,2004.712325
10.573889,121,2004.947389
7.237959,71,2005.095793
21.190705,229,2005.54461
7.873578,71,2005.675217
12.867228,150,2005.970922
6.794768,63,2006.106644
5.76115,67,2006.223628
18.259448,137,2006.4879
2.799552,63,2006.624671
0.245451,53,2006.717052
4.42688,50,2006.827161
4.199401,52,2006.916626
6.00465,73,2007.068709
6.297512,73,2007.198016
3.740941,62,2007.330368
1.620597,33,2007.385664
1.774024,56,2007.481184
3.528637,41,2007.579505
4.92691,52,2007.668137
4.998864,62,2007.807945
9.466544,106,2008.0133
6.929159,116,2008.213048
3.213544,41,2008.311157
10.467132,83,2008.456938
4.702088,61,2008.589872
4.837538,73,2008.721222
8.919144,69,2008.865286
1.480619,55,2008.961384
3.295768,68,2009.102437
6.676044,85,2009.270653
13.344202,83,2009.41174
3.115031,80,2009.571822
9.490146,81,2009.748085
9.726402,106,2009.934027
3.283601,59,2010.060851
4.888885,71,2010.183926
7.236293,66,2010.321586
3.516206,92,2010.500525
5.819107,96,2010.670316
6.407045,75,2010.826962
4.02974,67,2010.946579
7.060201,85,2011.119057
3.354756,68,2011.26241
3.701068,55,2011.359969
8.665367,112,2011.586627
2.315876,35,2011.652154
9.13649,91,2011.831861
6.071952,66,2011.944506
6.491492,69,2012.088799
1.750011,64,2012.199035
4.220845,55,2012.313071
2.960072,42,2012.382665
8.842707,72,2012.531015
6.860756,53,2012.620999
3.112357,102,2012.816519
11.834983,122,2013.050442
10.641615,73,2013.198332
7.301412,70,2013.316662
7.202021,99,2013.509202
7.470985,67,2013.629106
5.453782,60,2013.755616
6.017907,72,2013.879117
6.01883,69,2014.023363
3.895521,90,2014.203722
3.712348,86,2014.35279
12.790897,122,2014.598475
7.73902,79,2014.761487
3.919667,66,2014.877836
3.661359,39,2014.969335
4.428164,55,2015.066785
4.838211,60,2015.197193
3.745512,82,2015.336694
4.592622,58,2015.464989
6.863897,61,2015.570729
3.521384,46,2015.674436
5.660922,64,2015.784685
4.51193,52,2015.874079
9.453913,73,2016.021044
9.111897,75,2016.172114
3.994306,67,2016.286715
5.744977,64,2016.42144
5.614036,67,2016.534745
7.888872,70,2016.680949
2.983971,58,2016.780461
5.844789,59,2016.910298
7.217037,67,2017.024463
10.159515,82,2017.188057
4.415154,49,2017.270662
6.847077,113,2017.49093
6.306742,71,2017.634218
3.463214,72,2017.754801
6.166759,103,2017.964466
2.814005,48,2018.049912
3.854701,96,2018.242985
3.811817,64,2018.378657
3.138129,50,2018.464226
10.397249,119,2018.694857
8.406358,101,2018.891942
5.232593,74,2019.021525
5.416888,63,2019.156062
0.308201,91,2019.324061
6.6541,58,2019.448281
7.259134,76,2019.602884
9.72323,95,2019.767106
7.427435,73,2019.915138
6.095176,71,2020.034621
6.704925,64,2020.169971
6.972904,74,2020.298057
5.220186,71,2020.445562
9.302564,87,2020.622252
6.098053,62,2020.728498
5.992027,66,2020.868863
1.685977,36,2020.93295
7.424796,69,2021.078502
4.142259,54,2021.169233
5.21303,65,2021.284436
4.352468,54,2021.399759
6.488225,59,2021.501916
4.84711,56,2021.623394
16.126668,139,2021.890052
6.456559,57,2021.992333
5.781651,54,2022.111302
8.027398,76,2022.241377
3.453285,47,2022.346632
8.294408,74,2022.473033
9.293229,121,2022.712949
9.179525,82,2022.882745
5.262336,64,2022.995476
6.312015,63,2023.127932
3.723579,62,2023.239063
7.399527,81,2023.406188
5.41154,63,2023.518603
6.040873,90,2023.700991
5.328735,71,2023.851393
6.229118,75,2023.982914
6.764642,64,2024.11961
13.273929,128,2024.36393
6.893652,64,2024.472782
6.652276,69,2024.621196
5.994841,70,2024.743501
4.876789,82,2024.910913
6.437595,64,2025.049753
14.104035,109,2025.247812
2.541075,56,2025.369484
4.837372,54,2025.464949
2.653686,81,2025.634564
1.918297,44,2025.711745
7.21027,63,2025.847257
2.656614,39,2025.914076
6.993601,71,2026.058468
8.791234,93,2026.220371
8.316542,71,2026.369196
10.983863,80,2026.508104
6.000207,60,2026.635136
2.467426,51,2026.723514
2.106958,53,2026.840685
7.108679,57,2026.938565
9.463581,67,2027.085584
5.014786,67,2027.199821
3.062594,67,2027.340881
7.617732,64,2027.448597
3.09564,75,2027.60422
3.772732,42,2027.67778
4.893376,55,2027.798098
3.014341,41,2027.86959
4.147352,50,2027.958305
4.449195,81,2028.123307
5.046364,58,2028.229006
6.536651,181,2028.594187
6.735303,72,2028.724862
6.342679,65,2028.859241
7.650397,77,2029.016488
6.477674,55,2029.112458
3.177734,48,2029.193664
6.846151,58,2029.319474
5.317265,58,2029.4214
7.769275,69,2029.568278
16.974762,110,2029.782345
2.912076,50,2029.869755
6.744657,71,2030.018613
4.579401,66,2030.130761
8.930869,87,2030.305699
3.913648,70,2030.425192
1.464757,44,2030.527472
5.752524,73,2030.657767
10.182396,75,2030.810592
3.372274,43,2030.885214
9.365401,78,2031.051275
8.623675,146,2031.330941
7.923731,75,2031.461366
17.185819,140,2031.748712
4.189127,68,2031.866344
7.514449,66,2032.00312
10.322741,107,2032.188785
3.993527,90,2032.36867
9.142125,81,2032.533912
5.992478,69,2032.652569
5.0431,96,2032.84838
4.697503,50,2032.933357
5.719723,60,2033.064349
6.96298,68,2033.183791
9.011597,123,2033.424211
9.876041,83,2033.594848
5.628657,72,2033.743256
12.601831,156,2034.039645
3.996111,56,2034.137155
8.829022,77,2034.296886
3.593177,51,2034.384644
4.565246,63,2034.519067
4.641743,58,2034.620804
6.037239,63,2034.755766
8.02213,94,2034.927833
6.698385,67,2035.069091
7.892627,64,2035.182696
6.661033,62,2035.314735
4.508737,76,2035.467808
8.206128,66,2035.581437
6.954854,74,2035.73149
5.583901,68,2035.846519
6.784862,66,2035.981812
6.607702,60,2036.08445
8.694842,70,2036.230344
5.748204,64,2036.34052
7.584088,69,2036.483989
3.097074,59,2036.584737
6.187102,121,2036.822967
1.815555,42,2036.918609
7.822217,65,2037.03265
5.503527,69,2037.173493
25.505302,127,2037.418601
18.406409,184,2037.763533
8.475154,67,2037.902641
6.816506,73,2038.02831
7.705488,68,2038.170005
7.520747,79,2038.305057
5.731447,68,2038.447602
5.977985,69,2038.567481
5.112088,52,2038.691827
7.550582,72,2038.814623
19.621108,186,2039.189413
5.014175,57,2039.288657
4.381876,78,2039.450871
15.747444,115,2039.672845
6.829244,92,2039.828827
4.855167,76,2039.982992
2.161945,42,2040.052901
7.118507,70,2040.197664
2.075148,57,2040.298631
8.403257,89,2040.477337
6.009094,63,2040.592894
8.157525,94,2040.783025
3.700056,62,2040.916222
4.476009,66,2041.031575
7.980571,68,2041.174707
3.1966,61,2041.282734
9.639183,166,2041.620016
6.658602,67,2041.736207
17.279939,116,2041.960049
7.496063,71,2042.10485
4.324878,55,2042.199623
4.17399,61,2042.303612
20.852133,201,2042.718553
8.612774,78,2042.882522
5.963086,54,2042.977694
4.530209,150,2043.268658
5.073863,62,2043.400962
4.933017,53,2043.493509
9.479415,77,2043.654267
6.362201,66,2043.766294
4.779667,63,2043.896995
8.632715,81,2044.034368
3.446966,67,2044.177045
10.531952,76,2044.310397
5.610206,69,2044.45797
6.586524,61,2044.562047
9.544783,74,2044.720557
1.417661,52,2044.812009
5.278607,57,2044.932913
8.889982,84,2045.104786
2.664726,74,2045.231598
9.711126,74,2045.381251
7.937302,64,2045.494177
2.487061,55,2045.618865
7.119551,67,2045.738579
8.540065,62,2045.870879
4.43213,61,2045.979721
5.819717,64,2046.117511
7.056422,62,2046.223302
7.066292,82,2046.396425
10.416483,81,2046.540684
4.922149,61,2046.674028
8.997084,101,2046.87535
5.011158,67,2046.989047
2.189461,45,2047.092133
4.85425,69,2047.210515
4.004734,69,2047.3535
1.576084,41,2047.42462
5.314863,80,2047.589227
5.23998,55,2047.683795
7.417329,59,2047.787246
9.945172,87,2047.967806
7.655213,77,2048.125322
14.712368,111,2048.350755
10.760066,149,2048.630748
7.495262,63,2048.737311
6.83665,64,2048.87046
-0.432835,124,2049.116118
6.479622,56,2049.213333
6.504224,84,2049.386103
11.334473,82,2049.528998
3.161754,69,2049.673413
5.967881,55,2049.767875
6.936247,64,2049.902382
2.119382,41,2049.973318
5.693564,59,2050.099075
4.122672,81,2050.24159
7.66895,74,2050.388562
5.536568,94,2050.576648
4.003034,47,2050.65626
7.180887,72,2050.807524
3.347862,64,2050.9158
8.266482,80,2051.078449
0.017567,112,2051.296449
4.272474,63,2051.408391
4.523965,45,2051.488218
12.515221,126,2051.73461
1.033894,82,2051.904664
7.187897,73,2052.054762
4.238309,51,2052.141686
6.266605,53,2052.238886
7.119423,72,2052.387407
5.628138,57,2052.484382
9.972612,80,2052.647268
5.22163,95,2052.838641
7.741372,83,2052.980184
5.629167,56,2053.09921
7.070788,77,2053.233197
6.025908,80,2053.4023
8.297992,75,2053.558264
10.083875,69,2053.67874
10.770526,97,2053.871168
5.508596,81,2054.035651
9.340522,77,2054.174958
3.088604,55,2054.299503
1.864946,113,2054.525135
2.327055,41,2054.596618
1.245735,54,2054.690504
8.941685,103,2054.897668
1.732307,76,2055.052664
9.439554,68,2055.172971
5.797654,68,2055.32103
10.805221,86,2055.472973
2.462054,55,2055.59425
5.127086,53,2055.684857
15.270465,110,2055.902496
11.669813,93,2056.095957
4.823517,67,2056.213303
1.452045,37,2056.303389
5.807228,101,2056.481022
5.508079,72,2056.627737
7.118522,65,2056.763209
4.966315,60,2056.865327
4.803171,62,2056.972447
8.613766,86,2057.142789
7.747449,63,2057.274789
7.416748,65,2057.383719
7.333433,64,2057.515688
5.736358,74,2057.643555
6.008978,54,2057.761737
4.22231,78,2057.894693
6.635293,98,2058.093678
7.826027,82,2058.261234
1.655765,39,2058.326832
3.063062,50,2058.412994
5.647546,55,2058.531312
8.700421,78,2058.668101
5.572402,97,2058.859511
4.837453,65,2058.994749
7.192055,110,2059.212263
5.118851,83,2059.359449
5.054009,79,2059.521387
3.583199,58,2059.621125
7.175955,77,2059.775625
5.185579,68,2059.890278
6.06403,75,2060.050028
5.643347,56,2060.148348
7.731203,103,2060.356579
10.005566,151,2060.645341
7.458654,73,2060.793331
7.767191,62,2060.897923
7.489276,61,2061.025308
7.023669,67,2061.139112
5.900978,67,2061.278273
6.782091,68,2061.395216
5.257685,53,2061.512926
5.31331,63,2061.621895
21.955151,176,2061.981669
3.919024,61,2062.082116
7.656447,62,2062.214274
5.709819,92,2062.373339
5.845333,60,2062.500449
5.881685,54,2062.595442
6.988218,53,2062.711548
3.599267,60,2062.817075
5.819945,61,2062.94559
4.545546,57,2063.042974
4.941754,67,2063.186565
3.122694,49,2063.268203
7.742589,81,2063.430087
38.482493,272,2063.954264
5.95793,71,2064.077141
4.848371,60,2064.203276
16.52272,109,2064.419571
8.063039,79,2064.556098
3.35,77,2064.710767
10.758297,83,2064.876955
6.959683,83,2065.023582
1.897667,60,2065.160401
5.184325,65,2065.27275
6.06552,75,2065.428219
11.906248,102,2065.63401
7.938371,73,2065.764431
5.700561,56,2065.885091
4.463361,74,2066.014848
7.38091,63,2066.14885
6.850208,62,2066.258829
6.995084,79,2066.424016
6.537326,54,2066.517667
6.093318,55,2066.639163
5.764028,57,2066.739015
5.541916,56,2066.837134
6.719186,101,2067.041802
3.935337,50,2067.155543
5.529706,74,2067.285036
4.664024,75,2067.444275
11.87815,89,2067.623608
4.962026,114,2067.831473
16.123045,113,2068.048672
6.634502,59,2068.175631
4.113388,48,2068.25823
3.72168,61,2068.384967
1.003839,136,2068.639546
7.362265,62,2068.746409
6.083576,79,2068.903811
9.099898,69,2069.018751
5.472233,73,2069.17288
16.249886,162,2069.484228
7.586018,68,2069.631796
2.363903,99,2069.797524
6.884763,67,2069.93651
2.788297,38,2070.001147
6.111988,90,2070.178377
3.174182,49,2070.263337
7.251214,93,2070.452863
5.454601,59,2070.580319
6.224062,56,2070.680502
2.51018,41,2070.752877
7.966421,58,2070.882433
8.287519,67,2070.998001
6.15878,125,2071.244246
6.50243,166,2071.595309
11.296371,82,2071.73527
-0.320671,137,2072.000482
5.820547,103,2072.203384
4.09851,76,2072.35842
5.899118,64,2072.465852
2.92956,63,2072.599146
5.835603,52,2072.68754
0.951883,63,2072.817621
5.051357,57,2072.915925
3.806037,74,2073.067696
9.900211,140,2073.330109
11.008262,104,2073.51757
7.38345,74,2073.664674
3.5052,55,2073.7565
6.572155,87,2073.932639
10.186483,222,2074.362535
7.303773,65,2074.473488
7.630291,64,2074.609915
0.940915,29,2074.660295
6.326178,98,2074.857726
10.301347,74,2074.989861
11.221358,100,2075.192304
2.934801,89,2075.381147
5.114424,64,2075.492575
5.832557,69,2075.636223
-0.650528,86,2075.805857
0.902052,36,2075.868298
5.400831,62,2075.974918
3.122371,59,2076.099681
17.3082,146,2076.380947
6.064652,60,2076.485598
4.74544,72,2076.636058
9.262908,93,2076.821431
2.310668,87,2076.972745
6.386748,54,2077.090522
5.549718,66,2077.207406
7.912827,91,2077.391387
9.401331,92,2077.576281
3.960601,66,2077.689561
12.014794,107,2077.897693
8.816875,73,2078.051659
6.123867,71,2078.174139
6.067563,62,2078.311929
2.82329,72,2078.438014
8.383372,88,2078.619342
5.243553,56,2078.718752
5.890692,90,2078.899124
6.639086,65,2079.036358
9.714545,119,2079.277706
7.61925,69,2079.39737
7.562017,75,2079.549681
6.119508,62,2079.656059
8.256711,208,2080.071525
5.290162,55,2080.167713
5.858137,109,2080.384497
4.09048,69,2080.538281
24.865174,208,2080.921284
4.994547,65,2081.059034
5.402774,65,2081.173491
6.742114,82,2081.346766
4.749325,60,2081.447984
6.210149,73,2081.59761
6.421247,71,2081.746267
7.124628,78,2081.877316
6.810199,76,2082.032097
4.455028,64,2082.139816
6.854289,66,2082.27713
7.156797,66,2082.39234
1.966402,58,2082.51967
11.363838,105,2082.728037
8.369586,72,2082.853817
8.394982,74,2083.006389
2.797709,49,2083.091787
5.314698,163,2083.400905
5.471963,57,2083.525153
7.238971,73,2083.647918
4.627508,49,2083.754753
4.335036,120,2083.986036
7.042941,74,2084.111428
3.004692,81,2084.274811
7.32998,70,2084.39401
2.362407,42,2084.491286
8.038796,74,2084.618073
7.852611,74,2084.764988
5.795164,81,2084.927333
5.111025,70,2085.054788
0.408018,46,2085.134264
9.556031,136,2085.41575
5.605143,65,2085.528504
9.203233,84,2085.6966
5.366874,55,2085.790657
20.615301,186,2086.162665
6.445059,62,2086.267471
6.678051,68,2086.410226
9.601212,78,2086.548093
5.608511,56,2086.668417
6.453842,72,2086.793466
8.178263,102,2087.001561
6.951568,83,2087.1708
9.434002,90,2087.328552
6.629799,54,2087.4462
2.173212,83,2087.591164
4.67699,54,2087.708242
8.359832,69,2087.825797
4.870075,58,2087.951813
7.132761,69,2088.072618
6.892757,67,2088.215222
6.459401,89,2088.396183
4.488856,51,2088.487199
7.431921,62,2088.59769
16.362206,103,2088.804931
5.235973,73,2088.961275
5.65655,67,2089.081435
6.635461,68,2089.224471
2.502041,59,2089.327293
-1.251433,123,2089.5661
3.978031,52,2089.678061
